iter	RMSE
0	202.7292068
1	165.018436
2	133.4289371
3	111.4401458
4	98.02367084
5	87.05762754
6	79.42274821
7	72.28130662
8	67.70200531
9	65.02291574
10	58.06092122
11	52.10807991
12	48.78319313
13	45.66914242
14	40.41701551
15	33.41629346
16	30.85201456
17	29.37559942
18	24.7600122
19	22.27574739
20	21.80141026
21	20.75961913
22	18.46921334
23	16.49317325
24	16.10258713
25	15.4200463
26	13.5597149
27	12.85633115
28	12.47052985
29	11.91699339
30	11.44723418
31	10.8744286
32	10.03430317
33	9.719387686
34	9.529683811
35	8.887365861
36	8.708144359
37	8.389095849
38	8.110717576
39	7.660089768
40	7.408574039
41	6.996694183
42	6.733305059
43	6.450099084
44	6.3455268
45	6.140747292
46	5.912821771
47	5.772325422
48	5.489746577
49	5.15182482
50	5.040857121
51	4.867951892
52	4.713530739
53	4.628170649
54	4.566805549
55	4.32731633
56	4.246179506
57	4.190574827
58	4.132470636
59	3.961729576
60	3.89235433
61	3.754760939
62	3.549335099
63	3.477824212
64	3.349852131
65	3.290852658
66	3.176605869
67	3.105028259
68	2.981349154
69	2.959052356
70	2.898559219
71	2.854655303
72	2.775433631
73	2.695892345
74	2.652137459
75	2.63640796
76	2.596172926
77	2.529827753
78	2.516044561
79	2.418098156
80	2.341536805
81	2.306539031
82	2.280191769
83	2.244966872
84	2.234658715
85	2.208939888
86	2.171660475
87	2.131922304
88	2.056748903
89	2.007019571
90	1.996128334
91	1.945912253
92	1.917780861
93	1.878554552
94	1.811739659
95	1.797091682
96	1.749191314
97	1.707706428
98	1.699015075
99	1.657482057
100	1.647001938
101	1.626826854
102	1.597913123
103	1.584151269
104	1.574097161
105	1.56253502
106	1.545939353
107	1.530080725
108	1.468102114
109	1.456350668
110	1.441731329
111	1.431422375
112	1.404928397
113	1.37750912
114	1.346665485
115	1.33409136
116	1.299895115
117	1.289578077
118	1.267887033
119	1.240020941
120	1.229995713
121	1.209106184
122	1.194229788
123	1.186851373
124	1.168999453
125	1.154611546
126	1.146311178
127	1.124698139
128	1.107810921
129	1.088851126
130	1.070047656
131	1.063003882
132	1.057199981
133	1.043674894
134	1.038129933
135	1.019103533
136	0.9998529617
137	0.9832691364
138	0.977205194
139	0.9725640348
140	0.9691226271
141	0.9600622298
142	0.9592738213
143	0.950887418
144	0.9491609117
145	0.9279977022
146	0.9220018376
147	0.9178492059
148	0.9033743366
149	0.8930063478
150	0.8904060002
151	0.8741477757
152	0.8703752643
153	0.8607989799
154	0.846818002
155	0.8276574078
156	0.8211736226
157	0.8134613314
158	0.8067746509
159	0.8007793403
160	0.7880118811
161	0.7785736294
162	0.7739036345
163	0.765303804
164	0.7594461863
165	0.7548026545
166	0.7499372909
167	0.745422589
168	0.7414649729
169	0.7377692787
170	0.734691459
171	0.7262884956
172	0.7171774871
173	0.7105892526
174	0.6930820932
175	0.6902892844
176	0.6892459083
177	0.6813075292
178	0.6805158259
179	0.6798740044
180	0.6778448091
181	0.6716631333
182	0.6710096567
183	0.6597140198
184	0.6525688346
185	0.6422946613
186	0.6335073103
187	0.6276097546
188	0.6227062
189	0.6208971881
190	0.6186278232
191	0.618159632
192	0.6179257284
193	0.6175836366
194	0.6102719568
195	0.5979285798
196	0.5857850184
197	0.5826379329
198	0.5805397346
199	0.5742308157
200	0.5634446069
201	0.5600122285
202	0.5551694897
203	0.5465447977
204	0.5423456605
205	0.536636928
206	0.5320567895
207	0.5306153477
208	0.5243399331
209	0.5197758425
210	0.5174490529
211	0.51643261
212	0.5108366529
213	0.5033633653
214	0.5000296927
215	0.4986487646
216	0.4947541088
217	0.4906892937
218	0.4881135759
219	0.4879522095
220	0.486835644
221	0.4850736127
222	0.4816783836
223	0.4779182595
224	0.4743499513
225	0.4719161964
226	0.4668149602
227	0.4647112173
228	0.4640310648
229	0.4617010872
230	0.4557084704
231	0.455281557
232	0.452862165
233	0.4477497054
234	0.4459746247
235	0.4455357987
236	0.4451093931
237	0.4447480212
238	0.4424177784
239	0.4417521186
240	0.4331307974
241	0.4293529682
242	0.4271007067
243	0.4246412657
244	0.421580886
245	0.4214141764
246	0.4185667487
247	0.4124268568
248	0.412254782
249	0.4076584671
250	0.4071783706
251	0.4056893247
252	0.4047113915
253	0.4046037419
254	0.4005296003
255	0.3988037116
256	0.3981690326
257	0.3961965752
258	0.3921733455
259	0.3910664968
260	0.3874275329
261	0.3848330346
262	0.3830928925
263	0.3826041159
264	0.3819032031
265	0.3787613755
266	0.3782015169
267	0.3776715978
268	0.3755513719
269	0.3751053489
270	0.3720061045
271	0.3693660528
272	0.3689492078
273	0.3675764869
274	0.3671077407
275	0.3667346884
276	0.3655981274
277	0.3654273253
278	0.3632436304
279	0.3613481979
280	0.3596462954
281	0.3595042742
282	0.3587141142
283	0.357203298
284	0.3548128151
285	0.3537043756
286	0.3527516989
287	0.3489893209
288	0.3488653776
289	0.3469956763
290	0.3466335179
291	0.3405579328
292	0.3373157659
293	0.3370363557
294	0.3360934932
295	0.3347157168
296	0.3327604882
297	0.3321358455
298	0.3313603393
299	0.3297861085
