iter	Passed	Remaining
0	27	8104
1	27	4091
2	27	2749
3	28	2077
4	28	1674
5	28	1404
6	28	1212
7	29	1068
8	29	956
9	29	865
10	30	792
11	30	733
12	30	684
13	31	638
14	31	599
15	31	564
16	32	534
17	32	506
18	32	482
19	32	460
20	33	440
21	33	421
22	33	405
23	33	389
24	34	375
25	34	362
26	34	350
27	34	339
28	35	328
29	35	319
30	35	310
31	35	301
32	36	293
33	36	285
34	36	278
35	36	271
36	37	264
37	37	258
38	37	252
39	38	247
40	38	241
41	38	236
42	38	231
43	39	227
44	39	222
45	39	218
46	39	214
47	40	210
48	40	207
49	40	203
50	40	200
51	41	196
52	41	193
53	41	190
54	42	187
55	42	184
56	42	181
57	42	178
58	43	175
59	43	173
60	43	170
61	43	168
62	44	166
63	44	164
64	44	161
65	45	159
66	45	157
67	45	155
68	45	153
69	46	151
70	46	149
71	46	147
72	46	145
73	47	144
74	47	142
75	47	140
76	47	138
77	48	137
78	48	135
79	48	133
80	48	132
81	49	130
82	49	129
83	49	127
84	49	126
85	50	125
86	50	123
87	50	122
88	51	120
89	51	119
90	51	118
91	51	117
92	52	115
93	52	114
94	52	113
95	52	112
96	53	111
97	53	110
98	53	108
99	53	107
100	54	106
101	54	105
102	54	104
103	54	103
104	55	102
105	55	101
106	55	100
107	55	99
108	56	98
109	56	97
110	56	96
111	57	95
112	57	94
113	57	93
114	57	92
115	58	92
116	58	91
117	58	90
118	59	89
119	59	88
120	59	88
121	59	87
122	60	86
123	60	85
124	60	85
125	61	84
126	61	83
127	61	83
128	62	82
129	62	81
130	62	81
131	63	80
132	63	79
133	63	78
134	64	78
135	64	77
136	64	76
137	64	76
138	65	75
139	65	74
140	65	74
141	66	73
142	66	72
143	66	72
144	66	71
145	67	70
146	67	70
147	67	69
148	68	69
149	68	68
150	68	67
151	69	67
152	69	66
153	69	65
154	69	65
155	70	64
156	70	64
157	70	63
158	71	63
159	71	62
160	71	61
161	72	61
162	72	60
163	72	60
164	73	59
165	73	59
166	73	58
167	73	58
168	74	57
169	74	56
170	74	56
171	74	55
172	75	55
173	75	54
174	75	54
175	75	53
176	76	52
177	76	52
178	76	51
179	76	51
180	77	50
181	77	50
182	77	49
183	77	49
184	78	48
185	78	48
186	78	47
187	78	46
188	79	46
189	79	45
190	79	45
191	79	44
192	80	44
193	80	43
194	80	43
195	80	42
196	81	42
197	81	41
198	81	41
199	81	40
200	82	40
201	82	39
202	82	39
203	82	38
204	83	38
205	83	38
206	83	37
207	83	37
208	84	36
209	84	36
210	84	35
211	85	35
212	85	34
213	85	34
214	85	33
215	86	33
216	86	33
217	86	32
218	87	32
219	87	31
220	87	31
221	88	30
222	88	30
223	88	30
224	88	29
225	89	29
226	89	28
227	90	28
228	90	28
229	90	27
230	90	27
231	91	26
232	91	26
233	91	25
234	92	25
235	92	25
236	92	24
237	93	24
238	93	23
239	93	23
240	93	23
241	94	22
242	94	22
243	94	21
244	95	21
245	95	20
246	95	20
247	96	20
248	96	19
249	96	19
250	96	18
251	97	18
252	97	18
253	97	17
254	98	17
255	98	16
256	98	16
257	99	16
258	99	15
259	99	15
260	100	14
261	100	14
262	101	14
263	101	13
264	101	13
265	102	13
266	102	12
267	102	12
268	103	11
269	103	11
270	103	11
271	103	10
272	104	10
273	104	9
274	104	9
275	105	9
276	105	8
277	105	8
278	105	7
279	106	7
280	106	7
281	106	6
282	107	6
283	107	6
284	107	5
285	108	5
286	108	4
287	108	4
288	109	4
289	109	3
290	109	3
291	110	3
292	110	2
293	110	2
294	110	1
295	111	1
296	111	1
297	111	0
298	111	0
299	112	0
