code,num
C1072,776.5
C1128,1477.06
C1456,589.54
C1840,530.67
C1332,1316.43
C1563,1867.37
C1794,937.58
C1640,509.82
C1377,357.16
C2072,293.89
C1472,426.74
C1006,293.02
C1083,369.0
C1311,401.1
C2676,281.2
C2318,394.13
C1603,392.62
C2523,337.79
C2177,200.66
C2411,731.39
C2033,206.23
C1604,462.18
C2535,550.15
C1040,484.96
C2417,514.78
C1812,144.33
C2253,131.7
C1294,548.07
C1772,621.2
C2646,609.74
C1152,1181.55
C2423,116.39
C1844,494.5
C1318,388.89
C1729,111.87
C1602,269.87
C1239,400.51
C1721,642.08
C1902,943.13
C1855,270.18
C2600,381.17
C1071,459.99
C2295,377.63
C1621,582.42
C1852,932.97
C2555,1323.63
C1297,530.77
C2323,636.41
C2215,375.76
C2112,430.38
C1830,848.23
C2602,312.2
C2608,1218.97
C1215,656.34
C2369,673.3
C1158,362.87
C1887,565.86
C1189,340.05
C1637,458.87
C1225,131.98
C2374,410.5
C2397,560.02
C1105,896.03
C1782,449.2
C1629,139.54
C1708,359.29
C2144,524.27
C1617,919.27
C1149,662.82
C1323,563.24
C1064,679.77
C1019,351.16
C2269,674.44
C1416,952.98
C1250,966.72
C1741,459.03
C1016,734.11
C2675,1174.57
C2436,686.05
C2039,968.65
C1253,849.36
C2028,1438.14
C1166,338.14
C1135,335.04
C1216,339.03
C1593,241.24
C1826,269.63
C1827,391.66
C1564,292.78
C1495,931.96
C2653,967.9
C1392,509.66
C2128,308.6
C1282,559.8
C1521,1162.37
C2076,1052.91
C1060,652.95
C2473,1124.24
C2557,925.16
C1835,940.93
C2224,897.77
C2222,456.5
C2430,827.11
C2497,708.84
C1494,999.69
C1457,595.82
C1525,1320.91
C1712,539.4
C2267,997.8
C1623,312.23
C2131,531.1
C2691,1276.0
C1147,863.27
C1692,1085.56
C1570,905.92
C1474,106.32
C1633,157.93
C2113,548.25
C2175,810.33
C2303,1533.92
C2547,521.99
C2292,816.67
C1496,653.53
C1289,438.74
C1849,692.46
C1003,301.15
C2268,523.52
C2551,600.42
C2688,108.76
C1030,48.1
C1327,115.57
C2451,540.02
C1749,635.91
C1349,284.18
C2043,346.02
C1229,278.92
C2363,412.07
C1414,502.41
C2174,504.4
C2091,99.04
C2335,538.26
C1841,80.72
C2404,126.92
C1683,331.56
C1038,362.6
C2456,269.28
C1266,486.04
C2152,42.59
C1267,432.12
C2189,261.82
