code,num
C1072,825.35
C1128,1293.67
C1456,610.31
C1840,609.96
C1332,1249.13
C1563,1540.1
C1794,1187.79
C1640,532.57
C1377,410.85
C2072,212.34
C1472,498.11
C1006,406.34
C1083,449.3
C1311,210.64
C2676,389.69
C2318,354.78
C1603,473.51
C2523,199.09
C2177,167.58
C2411,996.89
C2033,235.75
C1604,481.73
C2535,579.2
C1040,624.39
C2417,497.57
C1812,139.16
C2253,138.87
C1294,693.54
C1772,638.86
C2646,568.93
C1152,1188.62
C2423,139.07
C1844,500.93
C1318,252.47
C1729,104.96
C1602,254.74
C1239,481.74
C1721,638.66
C1902,972.73
C1855,319.43
C2600,476.03
C1071,500.37
C2295,482.17
C1621,514.35
C1852,862.41
C2555,1430.42
C1297,482.19
C2323,619.05
C2215,395.15
C2112,404.78
C1830,916.01
C2602,211.93
C2608,1318.38
C1215,762.63
C2369,608.68
C1158,286.26
C1887,629.0
C1189,255.81
C1637,494.94
C1225,109.58
C2374,391.26
C2397,524.13
C1105,898.89
C1782,444.56
C1629,77.41
C1708,210.43
C2144,634.68
C1617,1165.75
C1149,626.99
C1323,580.54
C1064,907.38
C1019,254.41
C2269,578.9
C1416,885.13
C1250,1094.9
C1741,447.37
C1016,782.64
C2675,1123.01
C2436,894.75
C2039,995.61
C1253,940.71
C2028,1311.87
C1166,292.54
C1135,220.03
C1216,330.61
C1593,205.1
C1826,232.43
C1827,418.4
C1564,203.62
C1495,1163.35
C2653,994.99
C1392,789.43
C2128,216.9
C1282,794.02
C1521,1304.28
C2076,1293.25
C1060,618.21
C2473,1253.48
C2557,1033.39
C1835,1081.27
C2224,987.78
C2222,404.06
C2430,846.12
C2497,715.14
C1494,972.03
C1457,810.36
C1525,1250.82
C1712,768.06
C2267,1103.36
C1623,225.51
C2131,508.93
C2691,1100.77
C1147,881.22
C1692,1239.57
C1570,1135.47
C1474,121.3
C1633,137.38
C2113,788.51
C2175,836.77
C2303,1292.48
C2547,614.8
C2292,1047.03
C1496,668.48
C1289,460.78
C1849,806.09
C1003,276.67
C2268,777.48
C2551,799.16
C2688,75.09
C1030,49.63
C1327,95.03
C2451,496.58
C1749,788.21
C1349,258.83
C2043,274.93
C1229,257.43
C2363,628.8
C1414,637.52
C2174,790.4
C2091,81.47
C2335,769.08
C1841,75.19
C2404,100.54
C1683,211.67
C1038,377.07
C2456,202.03
C1266,611.39
C2152,45.16
C1267,474.82
C2189,233.37
