code,num
C1072,775.55
C1128,1325.31
C1456,569.19
C1840,530.39
C1332,1292.72
C1563,1775.01
C1794,914.26
C1640,539.61
C1377,364.64
C2072,290.66
C1472,486.11
C1006,280.86
C1083,472.15
C1311,277.89
C2676,231.82
C2318,325.9
C1603,399.71
C2523,323.52
C2177,180.38
C2411,718.52
C2033,209.61
C1604,520.23
C2535,602.74
C1040,494.41
C2417,534.71
C1812,137.71
C2253,131.14
C1294,602.08
C1772,581.72
C2646,587.63
C1152,1110.54
C2423,118.47
C1844,477.24
C1318,259.2
C1729,103.4
C1602,282.25
C1239,417.59
C1721,615.63
C1902,937.53
C1855,307.84
C2600,440.06
C1071,509.07
C2295,448.24
C1621,541.93
C1852,859.82
C2555,1229.55
C1297,517.01
C2323,602.68
C2215,366.96
C2112,406.18
C1830,827.89
C2602,304.97
C2608,1221.29
C1215,690.58
C2369,670.64
C1158,355.51
C1887,545.62
C1189,319.2
C1637,459.78
C1225,102.64
C2374,390.43
C2397,600.76
C1105,1030.07
C1782,492.04
C1629,103.6
C1708,295.74
C2144,541.32
C1617,1115.59
C1149,644.46
C1323,543.15
C1064,693.6
C1019,305.73
C2269,624.55
C1416,865.88
C1250,902.56
C1741,511.87
C1016,686.57
C2675,1134.21
C2436,736.11
C2039,916.51
C1253,710.47
C2028,1299.94
C1166,337.78
C1135,298.82
C1216,369.67
C1593,233.23
C1826,250.48
C1827,410.7
C1564,289.9
C1495,1000.32
C2653,989.25
C1392,558.0
C2128,283.61
C1282,524.14
C1521,1129.3
C2076,951.41
C1060,620.17
C2473,1056.1
C2557,978.0
C1835,896.08
C2224,941.5
C2222,410.77
C2430,834.74
C2497,644.28
C1494,1028.89
C1457,582.77
C1525,1249.34
C1712,560.28
C2267,978.15
C1623,301.24
C2131,549.93
C2691,1240.04
C1147,865.48
C1692,938.51
C1570,941.38
C1474,126.25
C1633,161.83
C2113,544.58
C2175,817.08
C2303,1451.84
C2547,521.96
C2292,760.68
C1496,641.35
C1289,432.0
C1849,620.45
C1003,285.0
C2268,495.61
C2551,621.41
C2688,94.33
C1030,44.66
C1327,105.56
C2451,542.71
C1749,597.94
C1349,286.29
C2043,304.29
C1229,267.12
C2363,432.52
C1414,483.53
C2174,492.07
C2091,107.6
C2335,551.01
C1841,76.61
C2404,136.98
C1683,285.02
C1038,331.88
C2456,258.22
C1266,487.57
C2152,43.29
C1267,444.59
C2189,274.58
