code,num
C1072,752.76
C1128,1392.8
C1456,541.13
C1840,543.52
C1332,1278.82
C1563,1731.93
C1794,881.03
C1640,526.62
C1377,361.58
C2072,290.07
C1472,476.85
C1006,288.88
C1083,429.7
C1311,271.3
C2676,239.75
C2318,386.41
C1603,414.46
C2523,287.95
C2177,181.92
C2411,692.11
C2033,213.4
C1604,474.0
C2535,576.11
C1040,494.25
C2417,541.32
C1812,138.32
C2253,130.46
C1294,611.8
C1772,586.03
C2646,611.03
C1152,1060.23
C2423,133.68
C1844,493.0
C1318,314.86
C1729,109.97
C1602,308.11
C1239,419.23
C1721,605.09
C1902,846.77
C1855,322.79
C2600,408.45
C1071,490.99
C2295,448.26
C1621,546.73
C1852,856.33
C2555,1372.5
C1297,532.46
C2323,587.56
C2215,384.4
C2112,439.46
C1830,776.87
C2602,295.33
C2608,1191.32
C1215,698.81
C2369,685.78
C1158,357.91
C1887,541.09
C1189,302.99
C1637,471.39
C1225,131.4
C2374,383.97
C2397,581.16
C1105,1016.05
C1782,493.26
C1629,99.86
C1708,271.59
C2144,595.04
C1617,1074.11
C1149,631.61
C1323,554.2
C1064,745.67
C1019,318.11
C2269,604.94
C1416,873.14
C1250,867.04
C1741,467.83
C1016,707.79
C2675,1047.98
C2436,709.32
C2039,917.33
C1253,794.7
C2028,1231.3
C1166,342.34
C1135,281.82
C1216,393.21
C1593,230.98
C1826,260.02
C1827,417.16
C1564,284.99
C1495,991.54
C2653,952.28
C1392,571.94
C2128,280.24
C1282,540.4
C1521,1163.19
C2076,990.27
C1060,585.26
C2473,1055.49
C2557,894.43
C1835,832.63
C2224,904.19
C2222,444.29
C2430,824.76
C2497,676.24
C1494,985.21
C1457,564.17
C1525,1233.48
C1712,581.72
C2267,912.83
C1623,294.24
C2131,535.44
C2691,1201.47
C1147,864.67
C1692,971.44
C1570,935.52
C1474,121.22
C1633,145.65
C2113,571.73
C2175,820.09
C2303,1464.35
C2547,509.92
C2292,797.55
C1496,672.99
C1289,428.72
C1849,617.66
C1003,273.94
C2268,538.88
C2551,639.05
C2688,96.81
C1030,48.57
C1327,105.98
C2451,553.83
C1749,584.09
C1349,265.74
C2043,308.54
C1229,255.37
C2363,405.95
C1414,470.78
C2174,482.62
C2091,101.2
C2335,532.05
C1841,76.37
C2404,130.14
C1683,263.74
C1038,346.16
C2456,255.71
C1266,481.26
C2152,48.87
C1267,429.34
C2189,265.67
